movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt0043014,Sunset Blvd.,1950,,110 min,"Drama, Film-Noir",8.4,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Billy Wilder,/name/nm0000697/,"William Holden, 
Gloria Swanson, 
Erich von Stroheim, 
Nancy Olson","/name/nm0000034/,/name/nm0841797/,/name/nm0002233/,/name/nm0647970/",224111.0,
tt0045877,The Hitch-Hiker,1953,,71 min,"Crime, Drama, Film-Noir",6.9,Two fishermen pick up a psychopathic escaped convict who tells them that he intends to murder them when the ride is over.,Ida Lupino,/name/nm0526946/,"Edmond O'Brien, 
Frank Lovejoy, 
William Talman, 
José Torvay","/name/nm0639529/,/name/nm0522481/,/name/nm0848251/,/name/nm0869064/",9474.0,
tt0032976,Rebecca,1940,,130 min,"Drama, Film-Noir, Mystery",8.1,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Alfred Hitchcock,/name/nm0000033/,"Laurence Olivier, 
Joan Fontaine, 
George Sanders, 
Judith Anderson","/name/nm0000059/,/name/nm0000021/,/name/nm0001695/,/name/nm0000752/",138938.0,4360000.0
tt0033870,The Maltese Falcon,1941,,100 min,"Crime, Film-Noir, Mystery",8.0,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered.",John Huston,/name/nm0001379/,"Humphrey Bogart, 
Mary Astor, 
Gladys George, 
Peter Lorre","/name/nm0000007/,/name/nm0000802/,/name/nm0313438/,/name/nm0000048/",160669.0,2108060.0
tt0036809,The Falcon Out West,1944,,64 min,"Crime, Drama, Film-Noir",6.1,"Detective Falcon and the police travel west to a ranch in Texas to try and solve the mystery of the murder by venom from a rattlesnake, in a New York City nightclub, of a Rich cattle baron.",William Clemens,/name/nm0166058/,"Tom Conway, 
Carole Gallagher, 
Barbara Hale, 
Joan Barclay","/name/nm0007218/,/name/nm0302347/,/name/nm0354853/,/name/nm0054060/",687.0,
tt0048424,The Night of the Hunter,1955,A,92 min,"Crime, Drama, Film-Noir",8.0,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.",Charles Laughton,/name/nm0001452/,"Robert Mitchum, 
Shelley Winters, 
Lillian Gish, 
James Gleason","/name/nm0000053/,/name/nm0001859/,/name/nm0001273/,/name/nm0322299/",91172.0,654000.0
tt0039926,The Two Mrs. Carrolls,1947,,99 min,"Crime, Drama, Film-Noir",6.8,"An artist forms an attachment with a woman on holiday in the country. As the relationship develops, his behavior and information about his past cause her increasing concern.",Peter Godfrey,/name/nm0324013/,"Humphrey Bogart, 
Barbara Stanwyck, 
Alexis Smith, 
Nigel Bruce","/name/nm0000007/,/name/nm0001766/,/name/nm0807252/,/name/nm0115558/",4538.0,
tt0036775,Double Indemnity,1944,,107 min,"Crime, Drama, Film-Noir",8.3,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",Billy Wilder,/name/nm0000697/,"Fred MacMurray, 
Barbara Stanwyck, 
Edward G. Robinson, 
Byron Barr","/name/nm0534045/,/name/nm0001766/,/name/nm0000064/,/name/nm0056477/",158953.0,5720000.0
tt0041959,The Third Man,1949,U,104 min,"Film-Noir, Mystery, Thriller",8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Carol Reed,/name/nm0715346/,"Orson Welles, 
Joseph Cotten, 
Alida Valli, 
Trevor Howard","/name/nm0000080/,/name/nm0001072/,/name/nm0885098/,/name/nm0002145/",173375.0,449191.0
tt0038355,The Big Sleep,1946,,114 min,"Crime, Film-Noir, Mystery",7.9,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",Howard Hawks,/name/nm0001328/,"Humphrey Bogart, 
Lauren Bacall, 
John Ridgely, 
Martha Vickers","/name/nm0000007/,/name/nm0000002/,/name/nm0725891/,/name/nm0896015/",87046.0,6540000.0
