movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt10640346,Babylon,2022,R,189 min,"Comedy, Drama, History",7.4,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood.",Damien Chazelle,/name/nm3227090/,"Brad Pitt, 
Margot Robbie, 
Jean Smart, 
Olivia Wilde","/name/nm0000093/,/name/nm3053338/,/name/nm0005443/,/name/nm1312575/",66051.0,
tt10304142,Amsterdam,2022,R,134 min,"Comedy, Drama, History",6.1,"In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history.",David O. Russell,/name/nm0751102/,"Christian Bale, 
Margot Robbie, 
John David Washington, 
Alessandro Nivola","/name/nm0000288/,/name/nm3053338/,/name/nm0913475/,/name/nm0005273/",65277.0,
tt11138512,The Northman,2022,R,137 min,"Action, Adventure, Drama",7.1,A young Viking prince is on a quest to avenge his father's murder.,Robert Eggers,/name/nm3211470/,"Alexander Skarsgård, 
Nicole Kidman, 
Claes Bang, 
Ethan Hawke","/name/nm0002907/,/name/nm0000173/,/name/nm0051903/,/name/nm0000160/",217036.0,
tt9737876,Narvik: Hitler's First Defeat,2022,TV-14,108 min,"Drama, History, War",6.6,"April 1940. The eyes of the world are on Narvik, a small town in northern Norway, source of the iron ore needed for Hitler's war machinery. Through two months of fierce winter warfare, Hitler is dealt his first defeat.",Erik Skjoldbjærg,/name/nm0804408/,"Billy Campbell, 
Kristine Hartgen, 
Stig Henrik Hoff, 
Henrik Mestad","/name/nm0001004/,/name/nm12242794/,/name/nm0388732/,/name/nm0582278/",9051.0,
tt8093700,The Woman King,2022,PG-13,135 min,"Action, Drama, History",6.7,"A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries.",Gina Prince-Bythewood,/name/nm0697656/,"Viola Davis, 
Thuso Mbedu, 
Lashana Lynch, 
Sheila Atim","/name/nm0205626/,/name/nm9096847/,/name/nm2736476/,/name/nm5956547/",48483.0,
tt15398776,Oppenheimer,2023,,,"Biography, Drama, History",,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,Christopher Nolan,/name/nm0634240/,"Cillian Murphy, 
Emily Blunt, 
Matt Damon, 
Robert Downey Jr.","/name/nm0614165/,/name/nm1289434/,/name/nm0000354/,/name/nm0000375/",,
tt5537002,Killers of the Flower Moon,,,,"Crime, Drama, History",,Members of the Osage tribe in the United States are murdered under mysterious circumstances in the 1920s sparking a major F.B.I. investigation involving J. Edgar Hoover.,Martin Scorsese,/name/nm0000217/,"Leonardo DiCaprio, 
Robert De Niro, 
Lily Gladstone, 
Jesse Plemons","/name/nm0000138/,/name/nm0000134/,/name/nm4291409/,/name/nm0687146/",,
tt0108052,Schindler's List,1993,R,195 min,"Biography, Drama, History",9.0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,/name/nm0000229/,"Liam Neeson, 
Ralph Fiennes, 
Ben Kingsley, 
Caroline Goodall","/name/nm0000553/,/name/nm0000146/,/name/nm0001426/,/name/nm0328751/",1365712.0,96898818.0
tt14807308,She Said,2022,R,129 min,"Drama, History",7.2,New York Times reporters Megan Twohey and Jodi Kantor break one of the most important stories in a generation - a story that helped ignite a movement and shattered decades of silence around the subject of sexual assault in Hollywood.,Maria Schrader,/name/nm0775056/,"Lola Petticrew, 
Katherine Laheen, 
Zoe Kazan, 
Carey Mulligan","/name/nm9252018/,/name/nm11621216/,/name/nm1443740/,/name/nm1659547/",20809.0,
tt5013056,Dunkirk,2017,PG-13,106 min,"Action, Drama, History",7.8,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",Christopher Nolan,/name/nm0634240/,"Fionn Whitehead, 
Barry Keoghan, 
Mark Rylance, 
Tom Hardy","/name/nm7887725/,/name/nm4422686/,/name/nm0753314/,/name/nm0362766/",669727.0,188373161.0
