tmdb_id,adult,belongs_to_collection,collection_id,budget,genres,overview,production_company_id,production_company_name,release_month,release_year,revenue,tagline,director,actor_0_name,actor_0_id,actor_0_gender,actor_1_name,actor_1_id,actor_1_gender,actor_2_name,actor_2_id,actor_2_gender,actor_3_name,actor_3_id,actor_3_gender,actor_4_name,actor_4_id,actor_4_gender
37905,False,False,,688225,"['Action', 'Horror', 'Thriller']","A bunch of crooked cops raid a ruined building located in an impoverished suburb of Paris, determined to furiously avenge the death of one of them, murdered by the ruthless criminal gang hidden on top of the dark labyrinth that will become a deathly trap when the living, unexpectedly turned into the undead by a mysterious plague, begin to devour the world.",5125,Le Pacte,2,2010,2,,Benjamin Rocher,Claude Perron,119199,1,Jean-Pierre Martins,82188,2,Ériq Ebouaney,25078,2,Aurélien Recoing,15482,2,Mamadou Doumbia,119200,2
187022,False,False,,4000000,"['Drama', 'Crime', 'Action']",Four independent stories set in modern China about random acts of violence.,567,Office Kitano,10,2013,154120,,Jia Zhangke,Jiang Wu,15170,2,Wang Baoqiang,71051,2,Zhao Tao,24044,1,Li Meng,1174686,1,Zhang Jiayi,107775,2
346646,False,True,1089303,7528230,"['Action', 'Comedy', 'Crime']","When an old collaborator gets severely injured, a veteran policeman tries to figure out the way to bring to justice the ultimately suspected aggressor, a spoiled young executive, heir to a mega corporation, who believes he is above the law.",12987,Filmmaker R&K,8,2015,87970000,The unstoppable. The untouchable.,Ryoo Seung-wan,Hwang Jung-min,68903,2,Yoo Ah-in,572225,2,Yoo Hai-jin,84996,2,Oh Dal-su,77188,2,Jang Yoon-ju,1692997,1
11058,False,False,,25000000,"['Drama', 'Horror', 'Science Fiction', 'Thriller']","A couple agree to have their deceased son cloned under the supervision of an enigmatic doctor, but bizarre things start to happen years after his rebirth.",57347,Blue Productions,4,2004,30120671,"When a miracle becomes a nightmare, evil is born.",Nick Hamm,Greg Kinnear,17141,2,Rebecca Romijn,11008,1,Robert De Niro,380,2,Cameron Bright,52414,2,Zoie Palmer,133252,1
14805,False,False,,35000000,"['Action', 'Thriller', 'Crime']","Landing in jail for a petty theft crime, Alvin finds himself sharing a cell with John Jaster, the incarcerated half of the pair of high-tech thieves responsible for the missing gold. His partner, Bristol, is still at large. Alvin wants only to get out of prison and start fresh with his girlfriend, Lisa, and when the Feds, led by U.S. Treasury investigator Clenteen, set him loose on a sketchy deal, he thinks his luck has changed. Alvin has his freedom and the Feds have found their bait.",97,Castle Rock Entertainment,3,2000,15500000,Alvin Sanders is going to help the Feds catch a killer. He just doesn't know it yet.,Antoine Fuqua,Jamie Foxx,134,2,David Morse,52,2,Robert Pastorelli,7866,2,Doug Hutchison,6806,2,Kimberly Elise,55314,1
8953,False,False,,26000000,"['Animation', 'Fantasy', 'Science Fiction']","After receiving a package from his grandfather, Ray, a young inventor who lives in England during the mid-19th century, finds himself caught in the middle of a deadly conflict related to a revolutionary advance in steam power.",528,Bandai Visual,7,2004,18900000,He will save the future.,Yasuhiro Aoki,Keiko Aizawa,1251403,1,Aiko Hibi,1244369,1,Manami Konishi,70122,1,Anne Suzuki,43662,1,Sanae Kobayashi,115303,1
13177,False,False,,8000000,"['Action', 'Drama']","Thousands of activists arrive in Seattle, Washington in masses to protest the WTO Ministerial Conference of 1999 (World Trade Organization). Although it began as a peaceful protest with a goal of stopping the WTO talks, it escalated into a full-scale riot and eventually, a State of Emergency that pitted protesters against the Seattle Police Department and the National Guard.",2865,Insight Film Studios,9,2007,908847,"Six lives, six battles, one city.",Robert Lee,Martin Henderson,26291,2,Michelle Rodriguez,17647,1,Woody Harrelson,57755,2,Charlize Theron,6885,1,Jennifer Carpenter,53828,1
415381,False,False,,5610000,"['Fantasy', 'Action', 'Adventure']","A story of a legendary battle, where seventeen fearless warriors defend their land against an army of thousands well-trained soldiers. In 13th-century Mongol warrior hordes and their leader, Batu Khan, control most of the known world. As the Mongols move towards Europe they invade the last Russian principality standing in their way. Little do they know, their plans are about to be ruined by a small detachment of heroic strong men led by a mysterious brave warrior. This is a story about courage, endurance and self-sacrifice for the sake of one's country. This is the story of Evpaty the Furious.",3419,Central Partnership,11,2017,10657499,,Dzhanik Fayziev,Ilya Malakov,1677546,2,Aleksandr Tsoy,1677545,2,Andrey Burkovskiy,1594434,2,Aleksandr Ilin,126861,2,Aleksey Serebryakov,113332,2
34421,False,False,,10000000,"['Action', 'Drama', 'Crime']","Jeff, a young delinquent, is enrolled by his father in a kenpo school, in the hopes of teaching the boy some self-discipline. Years later, Jeff's mentor, Kim, is being threatened by one of the Korean mafia families. Jeff tries to help his old friend, but is too late to prevent Kim's death at the hands of an unknown hitman. Vowing revenge, Jeff takes on all of the families, using his martial arts skills to find the man who killed his friend.",4,Paramount,3,1991,14061361,No gun. No knife. No equal. Just try him.,Connie Papineau,Jeff Speakman,112318,2,John Dye,84879,2,Mako,10134,2,James Hong,20904,2,Mariska Hargitay,6240,1
21866,False,False,,6500000,"['Drama', 'Romance', 'Comedy']","An idealistic, modern-day cowboy struggles to keep his Wild West show afloat in the face of hard luck and waning interest.",89137,Second Street Films,6,1980,24300000,The most outrageous of 'em all.,David Worth,Clint Eastwood,190,2,Sondra Locke,66223,1,Geoffrey Lewis,18071,2,Scatman Crothers,7077,2,Bill McKinney,16555,2
25516,False,True,246091,3750000,"['Science Fiction', 'Action', 'Adventure']",A developmentally disabled man meets an extraterrestrial after a huge spacecraft leaves it behind.,64779,Film Kraft,8,2003,10000000,You are not alone,Raksha Mistry,Hrithik Roshan,78749,2,Preity Zinta,35745,1,Rekha,109621,1,Hansika Motwani,237967,1,Prem Chopra,86088,2
39895,False,False,,1100000,['Horror'],"The uncle of an executed murderess relates four stories of his hometown, Oldfield, to a reporter. In the first, an elderly man pursues a romance with a younger woman, even to the grave and beyond. In the second, a wounded man on the run from creditors is rescued by a backwoods hermit who holds the secret to eternal life. In the third, a glass-eating carny pays the ultimate price for looking for love on the outside. And in the fourth, a group of Civil War soldiers are held captive by a household of orphans with strange intentions for them.",6087,Conquest Productions,9,1987,1400000,Welcome to Oldfield. Stop in for a night of pure terror.,Jeff Burr,Vincent Price,1905,2,Clu Gulager,62019,2,Terry Kiser,55267,2,Harry Caesar,18894,2,Rosalind Cash,43976,1
1450,False,False,,30000000,"['Action', 'Adventure', 'Horror', 'Science Fiction', 'Thriller']","On the surface, Saya is a stunning 16-year-old, but that youthful exterior hides the tormented soul of a 400-year-old ""halfling"". Born to a human father and a vampire mother, she has for centuries been a loner obsessed with using her samurai skills to rid the world of vampires, all the while knowing that she herself can survive only on blood like those she hunts.",3689,East Wing Holdings,4,2009,5874530,"Where evil grows, she preys.",Kenji Kamiyama,Jun Ji-hyun,63436,1,Allison Miller,17270,1,Liam Cunningham,15498,2,Koyuki,9190,1,JJ Feild,30710,2
