tmdb_id,title,release_date
154083,Strangers in the Night,2012-04-05
128874,Streets of San Francisco,1949-04-15
303068,Parkstrasse 13,1939-05-03
366823,Brandy for the Parson,1952-05-02
3546,Wściekły,1980-01-07
442932,Zoom,2016-09-02
241577,Black Memory,1947-07-01
170322,Meet Simon Cherry,1949-11-01
206858,"Peter Voss, der Held des Tages",1959-12-21
799182,Lihim,1997-01-01
383711,The Penny,2010-10-29
589516,Xolo,2017-10-26
671298,When fingers leave no prints,2021-12-31
384765,Labia,2015-05-07
79130,En territoire indien,2003-05-28
574841,Highlighters,2019-01-01
127035,The Mafia,1972-03-29
312033,Crown Jewels,1950-12-08
393471,Guilty?,1956-04-10
178819,Midnight Court,1937-03-06
302869,Muggers,2000-05-25
210333,Coolie Killer,1982-06-30
190790,Casino,1998-05-06
571310,The Law Divine,1920-11-01
243455,Little Robbers,2009-03-26
173838,Numbered Men,1930-06-07
465035,Offing David,2008-01-01
1034182,"Ducks, an Urban Legend",2022-11-20
100673,Blueprint for Robbery,1961-02-01
535176,American Daylight,2004-10-09
980791,Set Me Free: Vol. II,2016-05-03
192762,Dief!,1998-02-02
385357,Killing Lazarus,2015-01-01
1196805,Diksoochi,2019-08-16
259740,Agonies,1964-01-01
643312,The Diggers,2019-05-31
228567,Investigation,2006-09-02
281245,28 Minutes for 3 Million Dollars,1967-09-08
596322,Man of Conflict,1953-11-04
552901,Frontera,2018-10-06
623891,The Citizen,
257385,Life of Hishakaku,1963-03-16
188465,The Life of Vergie Winters,1934-06-14
265679,Black Hair,1964-07-09
280860,Pengantin Malam,2014-06-19
185302,Burning Life,1994-11-17
308462,The Son,2014-11-20
796526,BaBu,2013-01-01
779970,Love and Sacrifice,1936-01-01
676675,Dirty Job,2019-07-01
140968,Moment of Indiscretion,1958-09-05
813418,Hot Spot,
87340,Guilt Is My Shadow,1950-03-22
73568,Coup d'éclat,2011-04-27
467883,It Takes All Kinds,1969-06-12
432355,Älä nuolase…,1962-02-09
456842,The Body Vanished,1939-10-27
397196,Castling in the long side,1969-12-30
530012,Menace,1972-02-18
82518,Marpiccolo,2009-11-06
354880,Little Big Shot,1952-01-01
261014,Uomini di parola,1981-01-01
62970,Kaizokuban Bootleg Film,1999-12-01
321944,The Lucky Ones,2003-01-01
711977,Where Florence Sleeps,2016-03-05
205575,Conspirators,2013-04-10
270466,Banana Cop,1984-04-19
1050013,The Incomplete Man,2022-12-01
188954,The Ruling Voice,1931-09-10
101098,A Landscape of Lies,2011-10-01
885333,Lost Kiddy Found,2017-10-21
577224,Only in L.A.,2013-11-30
253930,The Villiers Diamond,1938-01-01
282469,The Masked Prosecutor,1999-12-09
311268,A Five Minute Walk,2001-01-01
151181,The Legend of Tara Poki,1971-05-18
200243,Family Blood,2013-05-24
724826,302,2020-03-12
288374,Sejnane,1974-01-02
403833,The Professionals,1960-01-01
153665,Polvere,2009-04-17
174174,The Chicago Kid,1945-06-29
511363,The Wedding Murders,2016-01-20
520708,Blood's a Rover,
