source_actor,target_actor,year,roi
1598,17722,2019.0,-0.324
1598,10554,2019.0,-0.324
10554,17722,2019.0,-0.324
4009,15166,2016.0,4.280286365
8550,15166,2016.0,4.280286365
4009,8550,2016.0,4.280286365
8977,17828,2017.0,1.5782608695652174
5185,17828,2017.0,1.5782608695652174
5185,8977,2017.0,1.5782608695652174
1590,13162,2012.0,2.09113324
8515,13162,2012.0,2.09113324
1590,8515,2012.0,2.09113324
7754,9665,2018.0,3.447752808988764
7754,13638,2018.0,3.447752808988764
7754,13638,2023.0,0.9501718213058419
7754,13638,2006.0,1.6566666666666667
9665,13638,2018.0,3.447752808988764
8373,16291,1971.0,3.96
8373,16291,1968.0,4.618900689655172
8373,13361,1971.0,3.96
13361,16291,1971.0,3.96
5569,11796,2012.0,3.324165148
5569,11796,2008.0,4.430045643243243
5569,11796,2006.0,1.741907775
11796,17745,2012.0,3.324165148
5569,17745,2012.0,3.324165148
13101,16215,2019.0,6.865168539325842
13101,16215,2012.0,5.903706886363636
13101,16215,2016.0,3.620185664
2794,16215,2019.0,6.865168539325842
2794,16215,2018.0,5.841383463333333
2794,16215,2012.0,5.903706886363636
2794,16215,2015.0,2.8504210794520546
2794,13101,2019.0,6.865168539325842
2794,13101,2012.0,5.903706886363636
5147,7287,2003.0,2.8786263733333337
5147,7287,1999.0,6.357418777777778
5147,14823,2003.0,2.8786263733333337
5147,14823,2021.0,-0.1763298842105263
5147,14823,1999.0,6.357418777777778
7287,14823,2003.0,2.8786263733333337
7287,14823,1999.0,6.357418777777778
30,12806,1982.0,0.4900865714285714
30,6079,1982.0,0.4900865714285714
6079,12806,1982.0,0.4900865714285714
1410,8980,2019.0,5.777777777777778
1410,9708,2019.0,5.777777777777778
8980,9708,2019.0,5.777777777777778
6174,9179,2011.0,4.206666666666667
282,6174,2011.0,4.206666666666667
282,9179,2011.0,4.206666666666667
1318,14499,2012.0,0.1005045
5612,14499,2012.0,0.1005045
1318,5612,2012.0,0.1005045
30,12421,1989.0,8.878579291666666
30,2899,1989.0,8.878579291666666
2899,12421,1989.0,8.878579291666666
10091,10477,2003.0,4.184210526315789
2617,10091,2003.0,4.184210526315789
2617,10091,2002.0,2.15
