tmdb_id,adult,belongs_to_collection,collection_id,budget,genres,overview,production_company_id,production_company_name,release_month,release_year,revenue,tagline
505642,False,True,529892,250000000,"['Action', 'Adventure', 'Science Fiction']","Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",420,Marvel Studios,11,2022,859102154,Forever.
76600,False,True,87096,460000000,"['Science Fiction', 'Adventure', 'Action']","Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",127928,20th Century Studios,12,2022,2320250281,Return to Pandora.
646389,False,True,1099094,25000000,['Action'],"After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.",73492,MadRiver Pictures,1,2023,51000000,Survive together or die alone.
545611,False,False,,25000000,"['Action', 'Adventure', 'Science Fiction']","An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",41077,A24,3,2022,139200000,The universe is so much bigger than you realize.
385687,False,True,9485,340000000,"['Action', 'Crime', 'Thriller']","Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",33,Universal Pictures,5,2023,704709660,The end of the road begins.
640146,False,True,422834,200000000,"['Action', 'Adventure', 'Science Fiction']","Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",420,Marvel Studios,2,2023,476071180,Witness the beginning of a new dynasty.
758009,False,False,,0,"['Action', 'Comedy', 'Romance']","Darcy and Tom gather their families for the ultimate destination wedding but when the entire party is taken hostage, “’Til Death Do Us Part” takes on a whole new meaning. Now, Darcy and Tom must save their loved ones—if they don’t kill each other first.",10227,Mandeville Films,12,2022,4495365,Save the day.
718930,False,False,,90000000,"['Action', 'Comedy', 'Thriller']","Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train.",121470,87North Productions,8,2022,239300000,The end of the line is just the beginning.
49046,False,False,,20000000,"['Drama', 'War', 'Action']","Paul Baumer and his friends Albert and Muller, egged on by romantic dreams of heroism, voluntarily enlist in the German army. Full of excitement and patriotic fervour, the boys enthusiastically march into a war they believe in. But once on the Western Front, they discover the soul-destroying horror of World War I.",36616,Amusement Park Films,10,2022,0,
361743,False,True,531330,170000000,"['Action', 'Drama']","After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",82819,Skydance Media,5,2022,1488732821,Feel the need... The need for speed.
864692,False,True,485645,29000000,"['Action', 'Adventure', 'Thriller', 'Drama']","A soldier caught by enemies and presumed dead comes back to complete his mission, accompanied by old companions and foes.",1569,Yash Raj Films,1,2023,130000000,There is a storm coming. Fasten your seatbelt.
877703,False,False,,0,"['Action', 'Fantasy', 'TV Movie']","The wolves are howling once again, as a terrifying ancient evil emerges in Beacon Hills. Scott McCall, no longer a teenager yet still an Alpha, must gather new allies and reunite trusted friends to fight back against this powerful and deadly enemy.",6329,MTV Entertainment Studios,1,2023,0,The pack is back.
284054,False,True,529892,200000000,"['Action', 'Adventure', 'Science Fiction']","King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",420,Marvel Studios,2,2018,1349926083,Long live the king.
414906,False,True,948485,185000000,"['Crime', 'Mystery', 'Thriller']","In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",101405,6th & Idaho,3,2022,771000000,Unmask the truth.
744,False,True,531330,15000000,"['Drama', 'Action', 'Adventure']","For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot.",4,Paramount,5,1986,356830601,Up there with the best of the best.
19995,False,True,87096,237000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",444,Dune Entertainment,12,2009,2923706026,Enter the world of Pandora.
842675,False,True,1073029,73800000,['Science Fiction'],"Humans built huge engines on the surface of the earth to find a new home. But the road to the universe is perilous. In order to save earth, young people once again have to step forward to start a race against time for life and death.",14714,China Film Group Corporation,1,2023,604400000,
436270,False,False,,200000000,"['Action', 'Adventure', 'Science Fiction']","Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",12,New Line Cinema,10,2022,393252111,Power born from rage.
739405,False,False,,50000000,"['Action', 'Thriller', 'Comedy', 'Adventure']",Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,14,Miramax,1,2023,37800000,"In this operation, everyone has a part to play."
507086,False,True,328,165000000,"['Adventure', 'Action', 'Science Fiction']","Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators ona planet they now share with history's most fearsome creatures.",56,Amblin Entertainment,6,2022,1001978080,The epic conclusion of the Jurassic era.
